date,samplesize_RV,rawpoll_trump_RV,samplesize_LV,rawpoll_trump_LV
2016-09-28,461.7142857142857,39.699999999999996,29262.16567591492,40.55634703196347
2016-09-29,461.7142857142857,39.699999999999996,27291.82112463287,40.44027397260274
2016-09-30,461.7142857142857,39.699999999999996,25409.03779129953,40.30310185185185
2016-10-01,875.297619047619,37.96,24314.549696061436,40.341314553990614
2016-10-02,875.297619047619,37.96,25582.568743680487,40.32579908675799
2016-10-03,2984.8690476190477,38.739999999999995,24077.340172251916,40.39225961538462
2016-10-04,4162.535714285714,38.949999999999996,29897.44786260078,40.43478764478765
2016-10-05,368.5357142857143,34.85,32485.662148315067,40.455209125475285
2016-10-06,368.5357142857143,34.85,31962.816910219826,40.41946153846153
2016-10-07,854.0357142857142,35.9,31248.094687997607,40.15436293436293
2016-10-08,854.0357142857142,35.9,34080.35183085475,40.13445255474453
2016-10-09,258.2857142857143,39.0,34690.22802133094,40.160215827338135
2016-10-10,258.2857142857143,39.0,44017.1208784738,40.10468438538206
2016-10-11,759.6666666666666,43.5,45942.237545140466,40.119313725490194
2016-10-12,1519.6666666666665,41.0,40249.837545140464,40.10299003322259
2016-10-13,1519.6666666666665,41.0,38867.10421180713,39.960566666666665
2016-10-14,434.0,42.333333333333336,36844.51106336474,39.84017793594306
2016-10-15,665.25,41.25,36820.781139122315,40.3241935483871
2016-10-16,505.25,40.0,36214.66288515406,40.321083032490975
2016-10-17,505.25,40.0,44550.809710550886,40.8884756097561
2016-10-18,378.25,38.0,52739.398996265176,41.15271540469974
2016-10-20,880.5833333333333,45.0,64314.85531494649,41.491716738197425
2016-10-21,880.5833333333333,45.0,63832.16190835308,41.4779295154185
2016-10-22,1212.5833333333333,45.75,65014.91984486102,41.35661572052402
2016-10-23,1212.5833333333333,45.75,63221.5051262463,41.44089743589743
2016-10-24,685.3333333333333,44.333333333333336,72490.91941196058,41.54879017013233
2016-10-25,4191.166666666667,45.42857142857143,77395.72179291297,41.772237521514626
2016-10-26,2962.833333333333,46.4,79439.47615799234,41.843304940374786
2016-10-27,763.8333333333333,46.5,81068.02853894471,42.13332775919732
2016-10-28,536.1666666666666,44.0,88246.57734846852,42.13977564102564
2016-10-29,536.1666666666666,44.0,90488.20115799233,42.14476725521669
2016-10-30,1381.1666666666665,42.666666666666664,111313.79520561139,42.240776978417266
2016-10-31,10006.0,44.2,103900.86584053202,42.26009302325581
2016-11-01,5117.75,43.2,121635.8301262463,42.37281818181818
2016-11-02,5380.75,42.8,107725.2845218507,42.320965517241376
2016-11-03,9236.0,43.46666666666667,88820.38074229693,42.10730125523013
2016-11-04,9236.0,43.46666666666667,74767.95693277312,41.63215053763441
2016-11-05,7917.25,43.54545454545455,60660.24026610644,41.41983660130719
2016-11-06,7917.25,43.54545454545455,67605.99502801121,41.36836177474403
2016-10-19,,,50856.63947245565,41.19111405835544
2016-11-07,,,20886.47619047619,39.47805555555556
